No,Topik
1,"['kabupaten_bantul', 'kabupaten_sleman', 'bantul', 'tambah', 'kota_yogyakarta', 'positif_covid', 'kulonprogo', 'pemda_diy', 'tangan_covid', 'korban']"
2,"['korban', 'sepeda_motor', 'kabupaten_sleman', 'kabupaten_bantul', 'tambah', 'juru_bicara', 'pemda_diy', 'konfirmasi_positif', 'bantul', 'kota_yogyakarta']"
3,"['sepeda_motor', 'korban', 'objek_wisata', 'wisata', 'larang_mudik', 'destinasi_wisata', 'protokol_sehat', 'terap_protokol', 'salat_idul', 'zona_merah']"
4,"['amplitudo_mm', 'gunung_rapi', 'jarak_luncur', 'arah_barat', 'gugur', 'kali', 'gunung', 'rapi', 'sepeda_motor', 'awan']"
5,"['israel', 'palestina', 'serang', 'gaza', 'sepeda_motor', 'larang_mudik', 'roket', 'al', 'pos_sekat', 'jalur_gaza']"
