No,Topik
1,"['mobil', 'celaka', 'bayar', 'kulonprogo', 'bangun', 'jadi', 'nopol', 'kemudi', 'udara', 'janji']"
2,"['amplitudo_mm', 'gunung_rapi', 'jarak_luncur', 'arah_barat', 'gugur', 'gunung', 'panas', 'luncur', 'rapi', 'kali']"
3,"['anak', 'bunuh', 'islam', 'terima', 'polisi', 'sang', 'korban', 'beda', 'tewas', 'sangka']"
4,"['mobil', 'lahir', 'kkb', 'normal', 'edar', 'bersih', 'kelompok', 'bakar', 'arah', 'minum']"
5,"['sepeda_motor', 'motor', 'parkir', 'curi', 'laku', 'korban', 'sepeda', 'kulonprogo', 'polres', 'iptu']"
6,"['pos_sekat', 'kendara_putar', 'kendara', 'tumpang', 'sekat', 'putar', 'china', 'mudik', 'pos', 'nilai']"
7,"['sangka', 'pasal', 'laki', 'darah', 'tangkap', 'saksi', 'tumpang', 'tetap', 'ancam', 'temu']"
8,"['israel', 'palestina', 'serang', 'gaza', 'roket', 'pcr', 'gunungkidul', 'tes_pcr', 'jalur', 'tes']"
9,"['pasar', 'beli', 'hotel', 'papua', 'negara', 'berangkat', 'bina', 'barat', 'nyata', 'vaksinasi']"
10,"['video', 'pidana', 'suami', 'jenis', 'terima', 'marah', 'korban', 'olah', 'laki', 'bagi']"
11,"['mati', 'papua', 'posko', 'jenazah', 'layan', 'kali', 'pariwisata', 'ketua_dprd', 'dprd', 'gunungkidul']"
12,"['hotel', 'pemda_diy', 'pimpin', 'wakil', 'ketua', 'muhammadiyah', 'sepeda_motor', 'dprd', 'pemda', 'sikap']"
13,"['kabupaten_bantul', 'bantul', 'kabupaten_sleman', 'positif_covid', 'objek_wisata', 'tambah', 'tangan_covid', 'wisata', 'positif', 'rumah_sakit']"
14,"['selenggara', 'celaka', 'pegawai', 'luka', 'akibat', 'kkb', 'rusak', 'jadi', 'alami', 'panggil']"
15,"['idul_fitri', 'fitri', 'idul', 'raya', 'gunungkidul', 'gelar', 'libat', 'sulit', 'juta', 'penjara']"
16,"['larang_mudik', 'protokol_sehat', 'buka_puasa', 'terap_protokol', 'salat_idul', 'mudik', 'kerja', 'laksana', 'zona_merah', 'sebar_covid']"
