,Topic,Word,P
0,0,mobil,0.025734583
1,0,celaka,0.017037157
2,0,bayar,0.014865358
3,0,kulonprogo,0.012091392
4,0,bangun,0.011377424
5,0,jadi,0.01090523
6,0,nopol,0.010574271
7,0,kemudi,0.009589161
8,0,udara,0.0084857745
9,0,janji,0.008390307
10,1,amplitudo_mm,0.027064078
11,1,gunung_rapi,0.024542788
12,1,jarak_luncur,0.02152279
13,1,arah_barat,0.019873882
14,1,gugur,0.014888479
15,1,gunung,0.012154228
16,1,panas,0.011208262
17,1,luncur,0.010513074
18,1,rapi,0.010354555
19,1,kali,0.010045861
20,2,anak,0.018257644
21,2,bunuh,0.011775643
22,2,islam,0.011756181
23,2,terima,0.00990552
24,2,polisi,0.009636151
25,2,sang,0.009013748
26,2,korban,0.008667069
27,2,beda,0.008435677
28,2,tewas,0.008366943
29,2,sangka,0.008147792
30,3,mobil,0.0129487
31,3,lahir,0.011746722
32,3,kkb,0.00854806
33,3,normal,0.008034091
34,3,edar,0.0072322977
35,3,bersih,0.007218998
36,3,kelompok,0.007182745
37,3,bakar,0.006656384
38,3,arah,0.006601924
39,3,minum,0.006510738
40,4,sepeda_motor,0.044926777
41,4,motor,0.021499936
42,4,parkir,0.021450724
43,4,curi,0.018172475
44,4,laku,0.01787013
45,4,korban,0.017847659
46,4,sepeda,0.01615826
47,4,kulonprogo,0.015140898
48,4,polres,0.013491357
49,4,iptu,0.011623182
50,5,pos_sekat,0.032147534
51,5,kendara_putar,0.026787475
52,5,kendara,0.019138582
53,5,tumpang,0.016696295
54,5,sekat,0.014875115
55,5,putar,0.014844174
56,5,china,0.011503176
57,5,mudik,0.009986323
58,5,pos,0.009401392
59,5,nilai,0.008873423
60,6,sangka,0.028178766
61,6,pasal,0.01581695
62,6,laki,0.011672449
63,6,darah,0.010903682
64,6,tangkap,0.00916221
65,6,saksi,0.008718128
66,6,tumpang,0.008101391
67,6,tetap,0.0075959605
68,6,ancam,0.007568636
69,6,temu,0.0073162992
70,7,israel,0.04268413
71,7,palestina,0.03367083
72,7,serang,0.027754288
73,7,gaza,0.022340266
74,7,roket,0.014800194
75,7,pcr,0.011243736
76,7,gunungkidul,0.010493728
77,7,tes_pcr,0.010257223
78,7,jalur,0.009971779
79,7,tes,0.009482913
80,8,pasar,0.011978176
81,8,beli,0.010960929
82,8,hotel,0.008966176
83,8,papua,0.008839847
84,8,negara,0.008792729
85,8,berangkat,0.008243709
86,8,bina,0.008157999
87,8,barat,0.007752531
88,8,nyata,0.0072351308
89,8,vaksinasi,0.007180633
90,9,video,0.014277605
91,9,pidana,0.010239011
92,9,suami,0.00872973
93,9,jenis,0.0086128805
94,9,terima,0.008554366
95,9,marah,0.0085206255
96,9,korban,0.008192627
97,9,olah,0.008008325
98,9,laki,0.007902975
99,9,bagi,0.007674088
100,10,mati,0.016914032
101,10,papua,0.010340659
102,10,posko,0.009447716
103,10,jenazah,0.009351798
104,10,layan,0.008638197
105,10,kali,0.008251098
106,10,pariwisata,0.0073957862
107,10,ketua_dprd,0.007017055
108,10,dprd,0.0067561003
109,10,gunungkidul,0.0065357396
110,11,hotel,0.0170268
111,11,pemda_diy,0.012935935
112,11,pimpin,0.011106834
113,11,wakil,0.010788047
114,11,ketua,0.0089049125
115,11,muhammadiyah,0.008459224
116,11,sepeda_motor,0.008334811
117,11,dprd,0.008273274
118,11,pemda,0.0078758765
119,11,sikap,0.007657237
120,12,kabupaten_bantul,0.01988198
121,12,bantul,0.019599495
122,12,kabupaten_sleman,0.018371498
123,12,positif_covid,0.017844554
124,12,objek_wisata,0.016647004
125,12,tambah,0.015743937
126,12,tangan_covid,0.015579219
127,12,wisata,0.014372027
128,12,positif,0.013981857
129,12,rumah_sakit,0.013906102
130,13,selenggara,0.0131559055
131,13,celaka,0.012079409
132,13,pegawai,0.011219789
133,13,luka,0.01114547
134,13,akibat,0.009131111
135,13,kkb,0.008651232
136,13,rusak,0.0086508775
137,13,jadi,0.008335636
138,13,alami,0.0082836235
139,13,panggil,0.0076761954
140,14,idul_fitri,0.028293522
141,14,fitri,0.010878028
142,14,idul,0.010878023
143,14,raya,0.0098388335
144,14,gunungkidul,0.009589194
145,14,gelar,0.007947703
146,14,libat,0.007494164
147,14,sulit,0.007346393
148,14,juta,0.007256207
149,14,penjara,0.0071592233
150,15,larang_mudik,0.019291634
151,15,protokol_sehat,0.01359465
152,15,buka_puasa,0.01199144
153,15,terap_protokol,0.011525971
154,15,salat_idul,0.01102871
155,15,mudik,0.010627126
156,15,kerja,0.010070319
157,15,laksana,0.010049331
158,15,zona_merah,0.009696202
159,15,sebar_covid,0.009417464
