,Topic,Word,P
0,0,warga_negara,0.013355425
1,0,sekat,0.012948513
2,0,awan_panas,0.0128370095
3,0,mudik,0.011802299
4,0,larang_mudik,0.009165565
5,0,jawa_barat,0.008828999
6,0,lebaran,0.008191677
7,0,titik,0.007990082
8,0,selenggara,0.007958685
9,0,dokumen,0.007159073
10,1,polres_kulonprogo,0.017213523
11,1,idul_fitri,0.009964467
12,1,satu_tugas,0.008419797
13,1,jamaah,0.0076544243
14,1,hotel,0.007011038
15,1,lapang,0.006989949
16,1,praktik,0.0069623925
17,1,uang,0.0068736253
18,1,pura,0.006854342
19,1,tangan_covid,0.006758506
20,2,sepeda_motor,0.020283677
21,2,kabupaten_sleman,0.008578002
22,2,sepeda,0.008075855
23,2,korban,0.007860017
24,2,isolasi_mandiri,0.007832797
25,2,motor,0.0075343573
26,2,gunungkidul,0.006996394
27,2,new_delhi,0.0069861775
28,2,kabupaten_gunungkidul,0.006789721
29,2,india,0.00668764
30,3,polda_diy,0.008057741
31,3,polres_bantul,0.007371157
32,3,sate_racun,0.0059819776
33,3,sate,0.004821402
34,3,racun,0.004751874
35,3,naba_faiz,0.00453732
36,3,aipda_fi,0.004496523
37,3,polsek_kalas,0.0044946955
38,3,nan_aprilliani,0.0041485867
39,3,mabes_polri,0.0040777903
40,4,buka_puasa,0.02358843
41,4,ramadan_hijriah,0.013073109
42,4,salat,0.012279026
43,4,puasa,0.009805599
44,4,wib,0.009457582
45,4,ramadan,0.009353379
46,4,subuh_wib,0.009185788
47,4,terap_protokol,0.009124984
48,4,ibadah,0.008588806
49,4,islam_menteri,0.008543093
