No,Topik
1,"['warga_negara', 'sekat', 'awan_panas', 'mudik', 'larang_mudik', 'jawa_barat', 'lebaran', 'titik', 'selenggara', 'dokumen']"
2,"['polres_kulonprogo', 'idul_fitri', 'satu_tugas', 'jamaah', 'hotel', 'lapang', 'praktik', 'uang', 'pura', 'tangan_covid']"
3,"['sepeda_motor', 'kabupaten_sleman', 'sepeda', 'korban', 'isolasi_mandiri', 'motor', 'gunungkidul', 'new_delhi', 'kabupaten_gunungkidul', 'india']"
4,"['polda_diy', 'polres_bantul', 'sate_racun', 'sate', 'racun', 'naba_faiz', 'aipda_fi', 'polsek_kalas', 'nan_aprilliani', 'mabes_polri']"
5,"['buka_puasa', 'ramadan_hijriah', 'salat', 'puasa', 'wib', 'ramadan', 'subuh_wib', 'terap_protokol', 'ibadah', 'islam_menteri']"
