No,Topik
1,"['sepeda_motor', 'korban', 'kota_yogyakarta', 'buka_puasa', 'kri_nanggala', 'polda_diy', 'polres_bantul', 'larang_mudik', 'rumah_sakit', 'motor']"
2,"['sepeda_motor', 'buka_puasa', 'motor', 'kota_yogyakarta', 'umat_muslim', 'sepeda', 'korban', 'puasa', 'salat', 'subuh_wib']"
3,"['sepeda_motor', 'kri_nanggala', 'buka_puasa', 'kapal_selam', 'kapal', 'motor', 'sepeda', 'kri', 'umat_muslim', 'nanggala']"
4,"['awan_panas', 'gunung_rapi', 'jarak_luncur', 'amplitudo_mm', 'awan', 'luncur', 'barat_daya', 'panas', 'arah_barat', 'detik']"
5,"['buka_puasa', 'kabupaten_sleman', 'tambah', 'konfirmasi_positif', 'kri_nanggala', 'dinas_sehat', 'pemda_diy', 'awan_panas', 'positif', 'kapal_selam']"
6,"['sepeda_motor', 'kri_nanggala', 'polres_bantul', 'kapal_selam', 'kapal', 'sate_racun', 'racun', 'sate', 'kri', 'nan_aprilliani']"
