No,Topik
1,"['sepeda_motor', 'motor', 'sleman', 'sepeda', 'tangkap', 'korban', 'polisi', 'aksi', 'bakar', 'lokasi']"
2,"['bantul', 'bantul_abdul', 'halim', 'umkm', 'kabupaten_bantul', 'tani', 'produk', 'abdul', 'turun', 'halim_muslih']"
3,"['libur_natal', 'libur', 'natal', 'kerumun', 'instruksi', 'nataru', 'kelola', 'ppkm_level', 'raya', 'timbul']"
4,"['kota_yogyakarta', 'tanah_longsor', 'bencana', 'musim_hujan', 'longsor', 'wali_kota', 'heroe_poerwadi', 'kota', 'heroe', 'hujan']"
5,"['konfirmasi_covid', 'varian_omicron', 'varian', 'protokol_sehat', 'ajar_tatap', 'omicron', 'sekolah', 'positif_covid', 'ptm', 'kepala_dinas']"
6,"['wisata', 'objek_wisata', 'pandemi_covid', 'partai', 'pandemi', 'pariwisata', 'dinas_pariwisata', 'bantu', 'rapat', 'kerja']"
7,"['media_sosial', 'sosial', 'media', 'rekam', 'sd', 'luka', 'terima', 'sengaja', 'rokok', 'henti']"
8,"['kota_yogyakarta', 'nikah', 'mukim', 'yogya', 'obat', 'baik', 'bangun', 'sumber', 'kota', 'mineral']"
9,"['sleman', 'bupati_sleman', 'kabupaten_sleman', 'umk', 'kabupaten_bantul', 'naik', 'minyak', 'harga', 'goreng', 'kustini']"
10,"['desa', 'negara', 'indonesia', 'tangan_covid', 'gunungkidul', 'tni', 'jakarta', 'tni_polri', 'masuk', 'atur']"
11,"['keras', 'aksi', 'kapasitas', 'model', 'ringan', 'guru', 'persen', 'imbau', 'menang', 'kelas']"
12,"['polres_kulonprogo', 'video', 'perempuan', 'kasi_humas', 'iptu_i', 'polres', 'cari', 'rumah', 'jeffry', 'payudara']"
13,"['korban', 'klaten', 'rumah_sakit', 'ekonomi', 'luka', 'pandemi_covid', 'tumbuh', 'jiwa', 'ulang', 'bunuh']"
14,"['vaksinasi', 'upah_minimum', 'capai_persen', 'upah', 'gubernur_diy', 'persen', 'tembak', 'kabupaten_kulonprogo', 'vaksin', 'kkb']"
15,"['gunung_rapi', 'arah_barat', 'rapi', 'gunung', 'kategori', 'gugur', 'detik', 'gempa', 'warung', 'ugm']"
16,"['rokok', 'kandung', 'perempuan', 'oktober', 'keras', 'konsumsi', 'pandemi_covid', 'korupsi', 'sang', 'nama']"
17,"['malioboro', 'berat', 'dinas_pariwisata', 'bekas', 'dinkes', 'lokasi', 'hari', 'dagang', 'kopassus', 'lewat']"
18,"['umrah', 'saudi', 'arab', 'vaksin', 'berangkat', 'terbang', 'varian', 'vaksin_covid', 'syarat', 'negatif']"
19,"['orang_tua', 'anak_anak', 'anak', 'borobudur', 'tua', 'raja', 'kendara', 'hati', 'rakyat', 'bangsa']"
20,"['nilai', 'tempur', 'tim', 'pesawat', 'terbit', 'undang', 'bukti', 'gugur', 'jenderal', 'luka']"
21,"['pasang', 'salah_satu', 'hotel', 'celaka', 'laku_usaha', 'persen', 'proses', 'meni', 'cinta', 'hormat']"
22,"['lomba', 'jalur', 'biaya', 'lingkung', 'cantik', 'lokal', 'area', 'suasana', 'api', 'struktur']"
23,"['juru_bicara', 'kalibawang', 'botol', 'normal', 'tampil', 'akibat', 'situasi', 'rusak', 'nyaman', 'material']"
24,"['positif_covid', 'jawa', 'positif', 'barat', 'provinsi', 'menang', 'parkir', 'tambah', 'jawa_barat', 'kalimantan']"
25,"['kopassus', 'personel', 'damai', 'papua', 'operasi', 'satgas', 'pamer', 'rokok', 'dokter', 'islam']"
26,"['guru', 'universitas', 'bangsa', 'presiden', 'jenderal', 'pecah', 'ugm', 'suasana', 'luka', 'lurah']"
27,"['selesai', 'layan', 'terap_protokol', 'dprd', 'obat', 'operasi', 'anggar', 'capai_persen', 'lonjak', 'kabupaten_bantul']"
28,"['korban', 'gor_cangkring', 'sangka', 'kabupaten_kulonprogo', 'curi', 'adil', 'korupsi', 'jaksa', 'tim', 'tetap']"
29,"['rsud', 'wates', 'korban', 'kandung', 'obat', 'bunuh', 'celaka', 'lokasi_jadi', 'mahasiswa', 'arah_barat']"
30,"['anggar', 'dapat', 'miliar', 'rudal', 'seni', 'dprd', 'pakat', 'daerah', 'belanja', 'pad']"
31,"['bantul', 'jalan_isolasi', 'rumah_sakit', 'total', 'pasien', 'sembuh', 'tambah', 'isolasi', 'positif_covid', 'camat']"
32,"['ppkm_level', 'level', 'pohon', 'protokol_sehat', 'ppkm', 'desember', 'tanam', 'muhammadiyah', 'rumah_sakit', 'buka']"
