No,Topik
1,"['kota_yogyakarta', 'korban', 'bantul', 'sleman', 'sepeda_motor', 'ppkm_level', 'protokol_sehat', 'vaksinasi', 'pandemi_covid', 'persen']"
2,"['korban', 'sepeda_motor', 'ppkm_level', 'polres_kulonprogo', 'protokol_sehat', 'motor', 'objek_wisata', 'libur_natal', 'polres', 'kasi_humas']"
3,"['ppkm_level', 'konfirmasi_covid', 'objek_wisata', 'bantul', 'positif_covid', 'vaksinasi', 'level', 'libur_natal', 'jalan_isolasi', 'ppkm']"
4,"['upah_minimum', 'ppkm_level', 'konfirmasi_covid', 'upah', 'sepeda_motor', 'sleman', 'kota_yogyakarta', 'korban', 'protokol_sehat', 'positif_covid']"
