,Topic,Word,P
0,0,sepeda_motor,0.059468504
1,0,motor,0.027568465
2,0,sleman,0.02673106
3,0,sepeda,0.0215345
4,0,tangkap,0.019009408
5,0,korban,0.016301759
6,0,polisi,0.016077193
7,0,aksi,0.014682433
8,0,bakar,0.013160216
9,0,lokasi,0.01189272
10,1,bantul,0.03726597
11,1,bantul_abdul,0.027114587
12,1,halim,0.020579953
13,1,umkm,0.019096518
14,1,kabupaten_bantul,0.01823742
15,1,tani,0.017864965
16,1,produk,0.015438975
17,1,abdul,0.014474097
18,1,turun,0.014126193
19,1,halim_muslih,0.013787571
20,2,libur_natal,0.06594548
21,2,libur,0.029731637
22,2,natal,0.02449488
23,2,kerumun,0.019126985
24,2,instruksi,0.017494015
25,2,nataru,0.014879387
26,2,kelola,0.009270777
27,2,ppkm_level,0.009214187
28,2,raya,0.008616972
29,2,timbul,0.007965071
30,3,kota_yogyakarta,0.049583986
31,3,tanah_longsor,0.045892287
32,3,bencana,0.02891826
33,3,musim_hujan,0.026983565
34,3,longsor,0.023837192
35,3,wali_kota,0.023416582
36,3,heroe_poerwadi,0.017936472
37,3,kota,0.016837085
38,3,heroe,0.016320642
39,3,hujan,0.015664646
40,4,konfirmasi_covid,0.027652856
41,4,varian_omicron,0.026546992
42,4,varian,0.021825656
43,4,protokol_sehat,0.021508904
44,4,ajar_tatap,0.018245988
45,4,omicron,0.018196903
46,4,sekolah,0.017328614
47,4,positif_covid,0.015949313
48,4,ptm,0.014693002
49,4,kepala_dinas,0.014524757
50,5,wisata,0.0330647
51,5,objek_wisata,0.03192305
52,5,pandemi_covid,0.03127169
53,5,partai,0.026006127
54,5,pandemi,0.016891157
55,5,pariwisata,0.01681733
56,5,dinas_pariwisata,0.016269123
57,5,bantu,0.01391211
58,5,rapat,0.012184793
59,5,kerja,0.01211238
60,6,media_sosial,0.0444608
61,6,sosial,0.022043921
62,6,media,0.016116826
63,6,rekam,0.0136498315
64,6,sd,0.012905513
65,6,luka,0.011994068
66,6,terima,0.011567526
67,6,sengaja,0.010519506
68,6,rokok,0.010262837
69,6,henti,0.009870205
70,7,kota_yogyakarta,0.032030214
71,7,nikah,0.019081725
72,7,mukim,0.014802417
73,7,yogya,0.0129173
74,7,obat,0.012076106
75,7,baik,0.010570368
76,7,bangun,0.010352879
77,7,sumber,0.010095456
78,7,kota,0.009793077
79,7,mineral,0.009318159
80,8,sleman,0.042652708
81,8,bupati_sleman,0.03322487
82,8,kabupaten_sleman,0.032640602
83,8,umk,0.017774004
84,8,kabupaten_bantul,0.017692978
85,8,naik,0.014091264
86,8,minyak,0.014023584
87,8,harga,0.013886931
88,8,goreng,0.013404042
89,8,kustini,0.013198845
90,9,desa,0.012592545
91,9,negara,0.012281397
92,9,indonesia,0.010806344
93,9,tangan_covid,0.010780807
94,9,gunungkidul,0.010557032
95,9,tni,0.010470207
96,9,jakarta,0.008508339
97,9,tni_polri,0.007877449
98,9,masuk,0.0077047935
99,9,atur,0.0076331394
100,10,keras,0.01297513
101,10,aksi,0.012830288
102,10,kapasitas,0.012423635
103,10,model,0.010534137
104,10,ringan,0.010494129
105,10,guru,0.010107119
106,10,persen,0.009347035
107,10,imbau,0.009130932
108,10,menang,0.008841913
109,10,kelas,0.008837616
110,11,polres_kulonprogo,0.039102156
111,11,video,0.0245655
112,11,perempuan,0.023409963
113,11,kasi_humas,0.02223671
114,11,iptu_i,0.01857544
115,11,polres,0.015748542
116,11,cari,0.015595015
117,11,rumah,0.015004837
118,11,jeffry,0.013789119
119,11,payudara,0.013013925
120,12,korban,0.026560117
121,12,klaten,0.022643628
122,12,rumah_sakit,0.01838159
123,12,ekonomi,0.013326549
124,12,luka,0.010364536
125,12,pandemi_covid,0.0095707495
126,12,tumbuh,0.009105472
127,12,jiwa,0.008945262
128,12,ulang,0.008945069
129,12,bunuh,0.00893506
130,13,vaksinasi,0.046004537
131,13,upah_minimum,0.027549779
132,13,capai_persen,0.023924107
133,13,upah,0.023362836
