,Topic,Word,P
0,0,sleman,0.05407454
1,0,dosen,0.032997753
2,0,kabupaten_sleman,0.02732921
3,0,pandemi_covid,0.026780192
4,0,remaja,0.019693261
5,0,program,0.019628605
6,0,tri,0.01612221
7,0,miskin,0.015223061
8,0,daya,0.014781614
9,0,bantu,0.014231835
10,1,hotel,0.029721778
11,1,jawa_barat,0.022849264
12,1,sangka,0.021921648
13,1,enam,0.018784398
14,1,minyak_goreng,0.018230302
15,1,dapat,0.017298391
16,1,jabar,0.015526944
17,1,kilogram,0.014524052
18,1,harga,0.014180746
19,1,telur_ayam,0.012698871
20,2,laksana_vaksinasi,0.03579833
21,2,gara,0.031090237
22,2,vaksinasi,0.026947776
23,2,vaksin,0.020459162
24,2,anak,0.02000433
25,2,ajar,0.018816495
26,2,panggil,0.017122816
27,2,gara_gara,0.016114851
28,2,anak_usia,0.016002052
29,2,vaksinasi_covid,0.014996679
30,3,rumah_sakit,0.038492866
31,3,sumber,0.03295384
32,3,cctv,0.029980347
33,3,keri,0.01723318
34,3,identifikasi,0.016563922
35,3,antar,0.016021289
36,3,sakit,0.015815532
37,3,rekam,0.015494143
38,3,pasar,0.014628023
39,3,olah,0.0143341115
40,4,dpd,0.039212063
41,4,partai,0.03468426
42,4,polres_kulonprogo,0.031509932
43,4,kader,0.031249976
44,4,urus,0.02807357
45,4,milu,0.023690622
46,4,tolak,0.020174801
47,4,purworejo,0.019730585
48,4,polsek,0.019392444
49,4,alas,0.018099457
50,5,diy,0.022431856
51,5,kota_yogyakarta,0.019862402
52,5,alun,0.018185254
53,5,alun_alun,0.018185254
54,5,kota,0.016802154
55,5,cegah,0.014822783
56,5,wanita,0.012554458
57,5,saudi,0.012218789
58,5,kawasan,0.011663834
59,5,komunikasi,0.011659825
60,6,sar,0.032294046
61,6,desa,0.029260831
62,6,kopda_da,0.028697317
63,6,militer,0.02693943
64,6,arah_barat,0.02049499
65,6,udara,0.01922559
66,6,jenderal_tni,0.016298937
67,6,as,0.013192611
68,6,luncur,0.012955825
69,6,da,0.012903102
70,7,wali,0.04755878
71,7,siswa,0.023110243
72,7,ramai,0.020241182
73,7,pemkot,0.016816946
74,7,izin,0.013162576
75,7,instruksi,0.011918436
76,7,lapor_polisi,0.011742648
77,7,kota_pemkot,0.009258002
78,7,hadiah,0.009105529
79,7,pamong_praja,0.0085540265
80,8,mantan,0.026425805
81,8,tular_covid,0.022791924
82,8,tumbuh,0.020261759
83,8,wajar,0.018800015
84,8,malaysia,0.016454104
85,8,sidang,0.014433236
86,8,pemkab_kulonprogo,0.013288958
87,8,jaksa,0.0118201515
88,8,landa,0.01075302
89,8,rapi,0.010390773
90,9,terap_protokol,0.031326402
91,9,latih,0.024870949
92,9,salur,0.024314625
93,9,juang,0.022780297
94,9,wakil_ketua,0.018909046
95,9,tegak,0.01809673
96,9,angka_miskin,0.01762072
97,9,kh,0.016621374
98,9,pimpin,0.0162318
99,9,oknum,0.015838278
100,10,bantul,0.03048817
101,10,jahat_jalan,0.030209836
102,10,klitih,0.017914448
103,10,lapor,0.015487851
104,10,latih,0.013536105
105,10,kombes_pol,0.01305351
106,10,kapolres,0.01252303
107,10,empat,0.012123216
108,10,jahat,0.011962683
109,10,akbp,0.011358438
110,11,kereta_api,0.028000856
111,11,kereta,0.015794015
112,11,tumpang,0.014342643
113,11,uji,0.014071479
114,11,sim,0.010804224
115,11,indah,0.008794217
116,11,polresta,0.0074952845
117,11,psikologi,0.0068431897
118,11,kai,0.006775553
119,11,daop,0.0064637274
120,12,omicron,0.031305794
121,12,positif_covid,0.027131941
122,12,vaksinasi_covid,0.024389604
123,12,laku_jalan,0.020375628
124,12,resmi,0.018435154
125,12,indonesia,0.015488232
126,12,wisma_atlet,0.014320722
127,12,wni,0.012290789
128,12,juru,0.011815491
129,12,juru_bicara,0.011815491
130,13,infeksi,0.023975005
131,13,satgas,0.016195975
132,13,pasien_sembuh,0.012418308
133,13,banguntapan,0.011713162
134,13,kabar,0.010449762
135,13,tanggulang,0.010419869
136,13,hari,0.009433504
137,13,total,0.0089748725
138,13,enam,0.007675352
139,13,corona,0.0026252635
140,14,tni_ad,0.030466672
141,14,tahan,0.021882607
142,14,instalasi,0.01925799
143,14,tni,0.018534824
144,14,andika,0.018141426
145,14,paket,0.017549539
146,14,dana,0.015494596
147,14,smart,0.014705197
148,14,kolonel,0.01419968
149,14,kolonel_inf,0.01368448
150,15,barat_daya,0.038264148
151,15,lava,0.035702642
152,15,gunung_rapi,0.032631386
153,15,bpptkg,0.027420767
154,15,meter_arah,0.026004909
155,15,amat,0.02257156
156,15,geologi,0.015188605
157,15,meter,0.014253153
158,15,hanik,0.014252324
159,15,gugur,0.014217065
160,16,istri,0.06125611
161,16,video,0.031761322
162,16,pria,0.027182179
163,16,dakwa,0.026020143
164,16,buat,0.021772118
165,16,bencana,0.021417437
166,16,rekam,0.018472984
167,16,anak_usia,0.017406767
168,16,kena,0.017161379
169,16,anak,0.015112882
170,17,tutup,0.019266643
171,17,cari,0.016031643
172,17,satpol_pp,0.01419056
173,17,anggota,0.013616417
174,17,malam,0.013278287
175,17,lintas,0.012464631
176,17,kendara,0.012309652
177,17,gunungkidul,0.012043291
178,17,varian_omicron,0.011285236
179,17,batas,0.0112701235
180,18,air,0.034969866
181,18,korban,0.029957294
182,18,kulonprogo,0.019334711
183,18,jadi,0.018995205
184,18,luka,0.016465418
185,18,curi,0.015884187
186,18,juta,0.013794753
187,18,hujan,0.01366316
188,18,tidur,0.013154113
189,18,objek_wisata,0.012426722
190,19,lokal,0.036693458
191,19,sumber_daya,0.03592933
192,19,tangkap,0.024389552
193,19,tindak_pidana,0.023644725
194,19,identitas,0.021995459
195,19,daftar,0.018611481
196,19,sidang,0.015664404
197,19,ratus,0.015378017
198,19,dokumen,0.01411721
199,19,langgar,0.013159988
200,20,tanam,0.03795243
201,20,pandemi_covid,0.022839129
202,20,serta,0.022368032
203,20,ugm,0.015057656
204,20,online,0.015029123
205,20,buah,0.011573379
206,20,motivasi,0.0101688355
207,20,studi,0.00905929
208,20,sosok,0.0073562725
209,20,kalang,0.0065880916
210,21,pasang,0.035240937
211,21,muda,0.032145273
212,21,tiga,0.023233535
213,21,usia,0.020390015
214,21,sadis,0.020252656
215,21,janji,0.018808898
216,21,hukum,0.018583793
217,21,penjara,0.01761372
218,21,iii,0.01754931
219,21,sungguh,0.014098582
220,22,umat,0.030940594
221,22,pesantren,0.019048167
222,22,sembilan,0.0101048015
223,22,periksa_saksi,0.008157067
224,22,tunjang,0.007887794
225,22,selidik,0.0067509124
226,22,nanggulan,0.006198466
227,22,nu,0.0051181093
228,22,gantung,0.0032352917
229,22,maju,0.0026731968
