No,Topik
1,"['sleman', 'dosen', 'kabupaten_sleman', 'pandemi_covid', 'remaja', 'program', 'tri', 'miskin', 'daya', 'bantu']"
2,"['hotel', 'jawa_barat', 'sangka', 'enam', 'minyak_goreng', 'dapat', 'jabar', 'kilogram', 'harga', 'telur_ayam']"
3,"['laksana_vaksinasi', 'gara', 'vaksinasi', 'vaksin', 'anak', 'ajar', 'panggil', 'gara_gara', 'anak_usia', 'vaksinasi_covid']"
4,"['rumah_sakit', 'sumber', 'cctv', 'keri', 'identifikasi', 'antar', 'sakit', 'rekam', 'pasar', 'olah']"
5,"['dpd', 'partai', 'polres_kulonprogo', 'kader', 'urus', 'milu', 'tolak', 'purworejo', 'polsek', 'alas']"
6,"['diy', 'kota_yogyakarta', 'alun', 'alun_alun', 'kota', 'cegah', 'wanita', 'saudi', 'kawasan', 'komunikasi']"
7,"['sar', 'desa', 'kopda_da', 'militer', 'arah_barat', 'udara', 'jenderal_tni', 'as', 'luncur', 'da']"
8,"['wali', 'siswa', 'ramai', 'pemkot', 'izin', 'instruksi', 'lapor_polisi', 'kota_pemkot', 'hadiah', 'pamong_praja']"
9,"['mantan', 'tular_covid', 'tumbuh', 'wajar', 'malaysia', 'sidang', 'pemkab_kulonprogo', 'jaksa', 'landa', 'rapi']"
10,"['terap_protokol', 'latih', 'salur', 'juang', 'wakil_ketua', 'tegak', 'angka_miskin', 'kh', 'pimpin', 'oknum']"
11,"['bantul', 'jahat_jalan', 'klitih', 'lapor', 'latih', 'kombes_pol', 'kapolres', 'empat', 'jahat', 'akbp']"
12,"['kereta_api', 'kereta', 'tumpang', 'uji', 'sim', 'indah', 'polresta', 'psikologi', 'kai', 'daop']"
13,"['omicron', 'positif_covid', 'vaksinasi_covid', 'laku_jalan', 'resmi', 'indonesia', 'wisma_atlet', 'wni', 'juru', 'juru_bicara']"
14,"['infeksi', 'satgas', 'pasien_sembuh', 'banguntapan', 'kabar', 'tanggulang', 'hari', 'total', 'enam', 'corona']"
15,"['tni_ad', 'tahan', 'instalasi', 'tni', 'andika', 'paket', 'dana', 'smart', 'kolonel', 'kolonel_inf']"
16,"['barat_daya', 'lava', 'gunung_rapi', 'bpptkg', 'meter_arah', 'amat', 'geologi', 'meter', 'hanik', 'gugur']"
17,"['istri', 'video', 'pria', 'dakwa', 'buat', 'bencana', 'rekam', 'anak_usia', 'kena', 'anak']"
18,"['tutup', 'cari', 'satpol_pp', 'anggota', 'malam', 'lintas', 'kendara', 'gunungkidul', 'varian_omicron', 'batas']"
19,"['air', 'korban', 'kulonprogo', 'jadi', 'luka', 'curi', 'juta', 'hujan', 'tidur', 'objek_wisata']"
20,"['lokal', 'sumber_daya', 'tangkap', 'tindak_pidana', 'identitas', 'daftar', 'sidang', 'ratus', 'dokumen', 'langgar']"
21,"['tanam', 'pandemi_covid', 'serta', 'ugm', 'online', 'buah', 'motivasi', 'studi', 'sosok', 'kalang']"
22,"['pasang', 'muda', 'tiga', 'usia', 'sadis', 'janji', 'hukum', 'penjara', 'iii', 'sungguh']"
23,"['umat', 'pesantren', 'sembilan', 'periksa_saksi', 'tunjang', 'selidik', 'nanggulan', 'nu', 'gantung', 'maju']"
