No,Topik
1,"['kulonprogo', 'korban', 'anak', 'kota_yogyakarta', 'libur_natal', 'bantul', 'vaksinasi', 'gunungkidul', 'kabupaten_kulonprogo', 'anak_anak']"
2,"['korban', 'libur_natal', 'varian_omicron', 'kopda_da', 'tni_ad', 'protokol_sehat', 'kolonel_inf', 'sepeda_motor', 'vaksinasi', 'kota_yogyakarta']"
3,"['vaksinasi', 'anak', 'kulonprogo', 'vaksinasi_anak', 'laksana_vaksinasi', 'anak_anak', 'anak_usia', 'kabupaten_kulonprogo', 'kota_yogyakarta', 'orang_tua']"
4,"['varian_omicron', 'kota_yogyakarta', 'omicron', 'minyak_goreng', 'vaksinasi', 'positif_covid', 'varian', 'kopda_da', 'vaksinasi_covid', 'wisma_atlet']"
5,"['varian_omicron', 'bantul', 'polres_kulonprogo', 'positif_covid', 'jahat_jalan', 'rumah_sakit', 'korban', 'kota_yogyakarta', 'kopda_da', 'omicron']"
6,"['gunung_rapi', 'barat_daya', 'minyak_goreng', 'meter_arah', 'gugur', 'kota_yogyakarta', 'bpptkg', 'gunung', 'awan', 'udara']"
7,"['jahat_jalan', 'minyak_goreng', 'telur_ayam', 'harga', 'telur', 'klitih', 'jahat', 'kulonprogo', 'minyak', 'polres_kulonprogo']"
8,"['jahat_jalan', 'polres_kulonprogo', 'kulonprogo', 'klitih', 'libur_natal', 'jahat', 'minyak_goreng', 'kereta_api', 'objek_wisata', 'pandemi_covid']"
9,"['kota_yogyakarta', 'sepeda_motor', 'jahat_jalan', 'pandemi_covid', 'gunung_rapi', 'barat_daya', 'vaksinasi', 'vaksinasi_anak', 'laksana_vaksinasi', 'amerika_serikat']"
10,"['kota_yogyakarta', 'minyak_goreng', 'kereta_api', 'jahat_jalan', 'pandemi_covid', 'angka_miskin', 'telur_ayam', 'miskin', 'libur_natal', 'kota']"
11,"['kota_yogyakarta', 'varian_omicron', 'angka_miskin', 'bantul', 'pandemi_covid', 'kabupaten_bantul', 'kombes_pol', 'miskin', 'sembuh', 'omicron']"
12,"['varian_omicron', 'kereta_api', 'angka_miskin', 'bantul', 'sembuh', 'pandemi_covid', 'miskin', 'pasien', 'anak_anak', 'kulonprogo']"
13,"['kereta_api', 'kereta', 'tumpang', 'sepeda_motor', 'pandemi_covid', 'angka_miskin', 'api', 'objek_wisata', 'kombes_pol', 'kai']"
14,"['kombes_pol', 'rudal', 'kombes', 'polda', 'pol', 'polri', 'polres_kulonprogo', 'amerika_serikat', 'pesawat', 'polda_diy']"
15,"['sepeda_motor', 'korban', 'sepeda', 'rumah_sakit', 'motor', 'kereta_api', 'kota_yogyakarta', 'tindak_pidana', 'polres_kulonprogo', 'lapor']"
16,"['angka_miskin', 'pandemi_covid', 'rudal', 'kombes_pol', 'miskin', 'sepeda_motor', 'anak_anak', 'kabupaten_sleman', 'anak', 'sleman']"
17,"['gunungkidul', 'raya_natal', 'pantai', 'sepeda_motor', 'natal', 'korban', 'pandemi_covid', 'rumah_sakit', 'air', 'terap_protokol']"
18,"['raya_natal', 'objek_wisata', 'kabupaten_sleman', 'sleman', 'alun_alun', 'alun', 'wisata', 'latih', 'satpol_pp', 'tutup']"
19,"['sleman', 'angka_miskin', 'anak_anak', 'pandemi_covid', 'kabupaten_sleman', 'anak', 'kombes_pol', 'miskin', 'mahasiswa', 'jawa_timur']"
20,"['gunungkidul', 'libur_natal', 'alun_alun', 'alun', 'tutup', 'sleman', 'lapas', 'undang_undang', 'bantul', 'angka_miskin']"
21,"['alun', 'alun_alun', 'sleman', 'kabupaten_sleman', 'kota_yogyakarta', 'satpol_pp', 'tutup', 'angka_miskin', 'jawa_timur', 'raya_natal']"
22,"['angka_miskin', 'sepeda_motor', 'rumah_sakit', 'korban', 'istri', 'protokol_sehat', 'jawa_timur', 'libur_natal', 'kabupaten_sleman', 'kota_yogyakarta']"
23,"['objek_wisata', 'gunungkidul', 'rumah_sakit', 'libur_natal', 'bantul', 'angka_miskin', 'kabupaten_gunungkidul', 'genap', 'kombes_pol', 'wisata']"
24,"['pandemi_covid', 'pantai', 'video', 'tindak_pidana', 'anak_anak', 'pasang', 'sar', 'pasu', 'anak', 'alat']"
25,"['produk', 'pandemi_covid', 'izin', 'pangan', 'awas', 'minyak_goreng', 'jual', 'tes', 'raya_natal', 'paket']"
26,"['latih', 'raya_natal', 'angka_miskin', 'mahasiswa', 'jawa_timur', 'candi', 'partai', 'diy', 'natal', 'urus']"
27,"['rumah_sakit', 'sepeda_motor', 'tes', 'tindak_pidana', 'sim', 'lapas', 'uji', 'bina', 'paket', 'raya_natal']"
28,"['raya_natal', 'jawa_timur', 'uji', 'sim', 'latih', 'korban', 'partai', 'psikologi', 'salah_satu', 'rumah_sakit']"
29,"['wisma_atlet', 'pesawat', 'varian_omicron', 'candi', 'serang', 'pasu', 'positif_covid', 'air', 'israel', 'atlet']"
30,"['tindak_pidana', 'rumah_sakit', 'pesawat', 'satpol_pp', 'protokol_sehat', 'candi', 'hotel', 'produk', 'tangkap', 'korban']"
31,"['rumah_sakit', 'pria', 'sim', 'pasu', 'lapas', 'psikologi', 'uji', 'mobil', 'bina', 'anggota_tni']"
32,"['sar', 'amerika_serikat', 'candi', 'paket', 'pantai', 'undang_undang', 'raya_natal', 'pasu', 'alat', 'as']"
33,"['satpol_pp', 'pesawat', 'jawa_timur', 'hotel', 'rumah_sakit', 'israel', 'anak_anak', 'video', 'anak', 'serang']"
34,"['jawa_timur', 'pesawat', 'candi', 'tindak_pidana', 'mahasiswa', 'kuliah', 'didik', 'video', 'pasang', 'studi']"
35,"['candi', 'korban', 'objek_wisata', 'sar', 'kabupaten_sleman', 'libur_natal', 'jenderal_tni', 'anggota_tni', 'orang_tua', 'tni_ad']"
36,"['pria', 'latih', 'anak_anak', 'wisma_atlet', 'minyak_goreng', 'pasu', 'anak', 'malioboro', 'saudi', 'al']"
