No,Topik
1,"['warga_dampak', 'paket', 'spesimen', 'sembako', 'salur_bantu', 'halaman', 'hak', 'peduli', 'ham', 'dampak']"
2,"['suami', 'sembelih_hewan', 'warna', 'sembelih', 'sun', 'ekor', 'the', 'henti', 'awal', 'doa']"
3,"['tinggal_dunia', 'kota_yogyakarta', 'warga_dampak', 'salah_satu', 'isolasi_mandiri', 'kota', 'angka_mati', 'mati', 'kamis', 'positif_covid']"
4,"['korban', 'wib', 'desa', 'kabupaten_bantul', 'lapor', 'teman', 'pariwisata', 'kiri', 'pasien_sembuh', 'cari']"
5,"['pemkab_sleman', 'harga', 'shelter', 'hak', 'bupati_sleman', 'beras', 'kabupaten_sleman', 'bank', 'bst', 'miliar']"
6,"['juru_bicara', 'rt', 'menang', 'lawan', 'kumpul', 'pt', 'tukang', 'klaim', 'tiga', 'serang']"
7,"['isolasi_mandiri', 'dlingo', 'banguntapan', 'orang_total', 'pandak', 'aktif', 'rekan', 'jetis', 'piyungan', 'kretek']"
8,"['kabupaten_sleman', 'kabag', 'kabag_humas', 'catat_tambah', 'puncak', 'tren', 'lewat', 'joko_hastaryo', 'hastaryo', 'kasus']"
9,"['gunung_rapi', 'gunung', 'israel', 'barat_daya', 'wisata', 'objek_wisata', 'jarak_luncur', 'rapi', 'tutup', 'tembak']"
10,"['bantu_sosial', 'pandemi_covid', 'dampak', 'ppkm_level', 'anak_anak', 'ppkm_darurat', 'indonesia', 'daerah', 'salur_bantu', 'sri_sultan']"
11,"['temu_tewas', 'korban', 'gantung', 'magelang', 'temu', 'saksi', 'ibu', 'jasad', 'simbah', 'simbah_darah']"
12,"['rumah_sakit', 'vaksinasi', 'anak', 'kalas', 'papar_covid', 'tangan_covid', 'bantul', 'juta', 'jalan_isolasi', 'kalas_sleman']"
13,"['pintu', 'tanah', 'kompleks', 'dr', 'bangun', 'kilogram', 'sungguh', 'salat', 'signifikan', 'tani']"
14,"['mobil', 'kurban', 'hewan_kurban', 'sapi', 'hewan', 'potong_hewan', 'masjid', 'lahir', 'posisi', 'ibadah']"
15,"['daerah_istimewa', 'bina', 'gejala_ringan', 'purworejo', 'infeksi', 'rawat', 'kelas', 'istimewa', 'kunjung', 'perempuan']"
