,Topic,Word,Sematik
0,0,awan_panas,-0.472364627433482
1,0,jarak_luncur,-0.28143474180845474
2,0,gunung_rapi,-0.22265625796591573
3,0,awan,-0.1793197546591213
4,0,gugur_lava,-0.17664423873528334
5,0,panas,-0.17241577163264132
6,0,durasi_detik,-0.16838746813083316
7,0,gugur,-0.15537777542845238
8,0,rapi,-0.1499192755300572
9,0,amplitudo_mm,-0.14494507405080784
10,1,kota_yogyakarta,0.26193006411050856
11,1,rumah_sakit,0.2463026495046608
12,1,positif_covid,0.17913284389484088
13,1,tangan_covid,0.1675064769413331
14,1,bantul,0.166886243688023
15,1,tambah,0.1641760670277355
16,1,pasien,0.15849594535906641
17,1,tenaga_sehat,0.1568130950401581
18,1,pasien_covid,0.15070410119474398
19,1,positif,0.14048028945467755
20,2,sepeda_motor,0.48579032600289146
21,2,korban,0.3205462065616423
22,2,motor,0.23979792190324886
23,2,curi,0.18950147278485832
24,2,sepeda,0.18314854575310896
25,2,aman,0.14533175160266934
26,2,alami_luka,0.12201904154042313
27,2,positif_covid,-0.11678003461632822
28,2,periksa_mandiri,-0.11497710348668766
29,2,kendara,0.11377273626687828
30,3,sri_purnomo,0.35515991746057674
31,3,vaksin,0.3014048046955401
32,3,sepeda_motor,-0.1923075242211461
33,3,periksa_mandiri,-0.17175849804252868
34,3,bupati_sleman,0.16629338931057128
35,3,tambah,-0.15198165145051165
36,3,kota_yogyakarta,-0.14788644219724878
37,3,tenaga_sehat,0.14576055416947925
38,3,pemda_diy,-0.1425616296524018
39,3,purnomo,0.13526286050935837
