No,Topik
1,"['awan_panas', 'jarak_luncur', 'gunung_rapi', 'awan', 'gugur_lava', 'panas', 'durasi_detik', 'gugur', 'rapi', 'amplitudo_mm']"
2,"['kota_yogyakarta', 'rumah_sakit', 'positif_covid', 'tangan_covid', 'bantul', 'tambah', 'pasien', 'tenaga_sehat', 'pasien_covid', 'positif']"
3,"['sepeda_motor', 'korban', 'motor', 'curi', 'sepeda', 'aman', 'alami_luka', 'positif_covid', 'periksa_mandiri', 'kendara']"
4,"['sri_purnomo', 'vaksin', 'sepeda_motor', 'periksa_mandiri', 'bupati_sleman', 'tambah', 'kota_yogyakarta', 'tenaga_sehat', 'pemda_diy', 'purnomo']"
