No,Topik
1,"['ayam', 'lurah', 'kabupaten_sleman', 'ngaglik_sleman', 'dagang', 'anak', 'hobi', 'prof', 'ngaglik', 'negeri']"
2,"['celaka', 'rumah_sakit', 'alami_luka', 'vanessa', 'tinggal_dunia', 'korban', 'jombang', 'mobil', 'budaya', 'gempa']"
3,"['warga_bina', 'kota_yogyakarta', 'bantul', 'positif_covid', 'lapas_narkotika', 'diy', 'pasu', 'rusia', 'jakarta', 'lapor']"
