,Topic,Word,P
0,0,barat_daya,0.027851127
1,0,awan_panas,0.02403907
2,0,gempa,0.017687704
3,0,tanam,0.01652512
4,0,gunung_rapi,0.01620095
5,0,jarak_luncur,0.015784536
6,0,buah,0.012437776
7,0,kerap,0.012167606
8,0,bumi,0.011411591
9,0,kali_gempa,0.010955756
10,1,klaten,0.00095517794
11,1,remaja,0.0009303425
12,1,mlati_sleman,0.00092968775
13,1,laki,0.0009262722
14,1,bayar,0.00092439435
15,1,surat,0.0009239122
16,1,tujuh,0.00092241616
17,1,urus,0.00092192966
18,1,ekor,0.00092069985
19,1,laki_laki,0.0009200752
20,2,mobil,0.014662104
21,2,tumpang,0.013254988
22,2,korban,0.0119919665
23,2,mlati,0.010075205
24,2,laku,0.009687317
25,2,semarang,0.008465514
26,2,hukum,0.008437345
27,2,mlati_sleman,0.008073671
28,2,bantul,0.008024542
29,2,sepeda_motor,0.0074190656
30,3,tracing_kontak,0.0031323915
31,3,kontak,0.0028952027
32,3,screening_karyawan,0.0028935939
33,3,tambah_total,0.0028932956
34,3,dominasi,0.0028580455
35,3,biro,0.0028580378
36,3,diy_ditya,0.0028580027
37,3,ditya,0.0028580013
38,3,nanaryo_aji,0.0028579915
39,3,nanaryo,0.002857978
40,4,kota_yogyakarta,0.022905277
41,4,vaksinasi,0.019879071
42,4,ppkm_level,0.017165428
43,4,vaksin,0.010891513
44,4,merah,0.010244637
45,4,kota,0.0087431725
46,4,harga,0.007923155
47,4,pesawat,0.00742104
48,4,pariwisata,0.0072882203
49,4,laksana,0.007230558
50,5,kaki,0.0048328345
51,5,serah_bantu,0.0009895198
52,5,jawa_timur,0.0009887451
53,5,perintah_daerah,0.0009758118
54,5,ukur,0.000965865
55,5,sembako,0.0009609934
56,5,mobilitas,0.0009567597
57,5,positif_covid,0.00094261626
58,5,bantu,0.0009387329
59,5,konfirmasi_positif,0.00093795225
60,6,gelombang,0.029799515
61,6,pakai_masker,0.028455297
62,6,air,0.020467116
63,6,malioboro,0.019235604
64,6,pantai,0.01863273
65,6,masker,0.018296763
66,6,kawasan,0.015154649
67,6,rusak,0.013609284
68,6,kota_yogyakarta,0.0124870455
69,6,warung,0.010906843
