No,Topik
1,"['partai_demokrat', 'partai', 'demokrat', 'klb', 'dpc', 'ahy', 'kongres', 'serdang', 'kongres_klb', 'art']"
2,"['laku_usaha', 'wisatawan', 'pariwisata', 'negatif', 'antigen', 'vaksin_covid', 'dinas_sehat', 'kepala_dinas', 'protokol_sehat', 'rapid']"
3,"['jawa_timur', 'wartawan', 'pandemi_covid', 'urus', 'sendiri', 'ketua', 'kasih', 'cabang', 'edukasi', 'kabupaten_kota']"
4,"['korban', 'kota_yogyakarta', 'awan_panas', 'kulonprogo', 'vaksinasi', 'bantul', 'gunungkidul', 'temu', 'rumah_sakit', 'vaksinasi_covid']"
5,"['india', 'as', 'drone', 'amerika_serikat', 'tahan', 'dolar', 'china', 'miliar', 'tuju', 'hubung']"
