,Topic,Word,P
0,0,partai_demokrat,0.012295735
1,0,partai,0.0056664348
2,0,demokrat,0.004982055
3,0,klb,0.004706275
4,0,dpc,0.0027811518
5,0,ahy,0.002016261
6,0,kongres,0.00193463
7,0,serdang,0.0018443966
8,0,kongres_klb,0.0018323687
9,0,art,0.0017977305
10,1,laku_usaha,0.055601764
11,1,wisatawan,0.04274432
12,1,pariwisata,0.03254952
13,1,negatif,0.031847056
14,1,antigen,0.03113275
15,1,vaksin_covid,0.026596699
16,1,dinas_sehat,0.02439636
17,1,kepala_dinas,0.02439148
18,1,protokol_sehat,0.024256159
19,1,rapid,0.022714728
20,2,jawa_timur,0.051212233
21,2,wartawan,0.045354035
22,2,pandemi_covid,0.037453946
23,2,urus,0.025706112
24,2,sendiri,0.019099288
25,2,ketua,0.018570336
26,2,kasih,0.018009543
27,2,cabang,0.017079417
28,2,edukasi,0.01689426
29,2,kabupaten_kota,0.016879918
30,3,korban,0.0055884025
31,3,kota_yogyakarta,0.005202619
32,3,awan_panas,0.0038820377
33,3,kulonprogo,0.003658223
34,3,vaksinasi,0.0034155224
35,3,bantul,0.0034124388
36,3,gunungkidul,0.0033195966
37,3,temu,0.0032532886
38,3,rumah_sakit,0.0032155695
39,3,vaksinasi_covid,0.0028712212
40,4,india,0.06358025
41,4,as,0.046496827
42,4,drone,0.03214874
43,4,amerika_serikat,0.028835956
44,4,tahan,0.026638715
45,4,dolar,0.022368435
46,4,china,0.02145867
47,4,miliar,0.01859848
48,4,tuju,0.017672392
49,4,hubung,0.0143614365
