No,Topik
1,"['kota_yogyakarta', 'awan_panas', 'vaksinasi', 'korban', 'bantul', 'kabupaten_sleman', 'gunung_rapi', 'tangan_covid', 'amplitudo_mm', 'vaksinasi_covid']"
2,"['awan_panas', 'gunung_rapi', 'amplitudo_mm', 'jarak_luncur', 'barat_daya', 'gugur', 'awan', 'kali_gempa', 'gugur_lava', 'panas']"
3,"['korban', 'partai_demokrat', 'tracing_kontak', 'kota_yogyakarta', 'partai', 'lokasi_jadi', 'polisi', 'vaksinasi', 'kabupaten_bantul', 'pasien_sembuh']"
4,"['partai_demokrat', 'korban', 'vaksinasi', 'orang_camat', 'positif_covid', 'tracing_kontak', 'pasien_sembuh', 'vaksinasi_covid', 'pasien_positif', 'laksana_vaksinasi']"
5,"['partai_demokrat', 'partai', 'demokrat', 'klb', 'korban', 'tracing_kontak', 'orang_camat', 'pasien_sembuh', 'positif_covid', 'pasien_positif']"
