No,Topik
1,"['kabupaten_sleman', 'tambah', 'kota_yogyakarta', 'tracing_kontak', 'periksa_mandiri', 'korban', 'konfirmasi_positif', 'juru_bicara', 'pemda_diy', 'positif']"
2,"['tambah', 'tracing_kontak', 'periksa_mandiri', 'korban', 'kabupaten_sleman', 'konfirmasi_positif', 'berty_murtiningsih', 'kota_yogyakarta', 'juru_bicara', 'pemda_diy']"
3,"['awan_panas', 'gunung_rapi', 'jarak_luncur', 'arah_barat', 'amplitudo_mm', 'awan', 'wib_wib', 'rapi', 'panas', 'gunung']"
