No,Topik
1,"['kota_yogyakarta', 'positif_covid', 'bantul', 'pemda_diy', 'tangan_covid', 'kabag_humas', 'kabupaten_bantul', 'tinggal_dunia', 'pandemi_covid', 'positif']"
2,"['sepeda_motor', 'korban', 'kabag_humas', 'periksa_mandiri', 'kota_yogyakarta', 'tracing_kontak', 'kabupaten_bantul', 'humas_protokol', 'konfirmasi_positif', 'pemda_diy']"
3,"['sepeda_motor', 'korban', 'vaksinasi', 'motor', 'kabag_humas', 'sepeda', 'polres_kulonprogo', 'periksa_mandiri', 'pandemi_covid', 'curi']"
