No,Topik
1,"['jenazah', 'ambulans', 'vaksin', 'vaksinasi', 'tinggal_dunia', 'ratus', 'mlati', 'herd_immunity', 'dinas_sehat', 'mohon']"
2,"['mobilitas_masyarakat', 'jam_wib', 'korban', 'mobilitas', 'bersih', 'varian_delta', 'kulonprogo', 'papua', 'perempuan', 'restoran']"
3,"['pemda_diy', 'positif_covid', 'kapasitas_tidur', 'positif', 'pasar', 'pasar_tradisional', 'obat', 'kota_yogyakarta', 'kabag_humas', 'pemkab_sleman']"
