No,Topik
1,"['kota_yogyakarta', 'bantul', 'korban', 'tangan_covid', 'rumah_sakit', 'positif_covid', 'kulonprogo', 'tambah', 'pasien', 'kabupaten_bantul']"
2,"['gunung_rapi', 'gugur_lava', 'korban', 'jarak_luncur', 'barat_daya', 'amplitudo_mm', 'awan_panas', 'tangan_covid', 'lava_pijar', 'kubah_lava']"
3,"['gunung_rapi', 'korban', 'gugur_lava', 'jarak_luncur', 'barat_daya', 'kendara_sepeda', 'amplitudo_mm', 'awan_panas', 'lava_pijar', 'kubah_lava']"
4,"['vaksinasi', 'vaksinasi_covid', 'tenaga_sehat', 'orang_camat', 'layan_publik', 'dagang_pasar', 'positif_covid', 'vaksin', 'korban', 'bantul']"
