No,Topik
1,"['awan_panas', 'jarak_luncur', 'mantan', 'isolasi_mandiri', 'barat_daya', 'gunung_rapi', 'awan', 'arah_barat', 'timbang', 'durasi_detik']"
2,"['pabrik', 'gunungkidul_dewi', 'partai_politik', 'politik', 'intensif', 'resmi', 'corona', 'rabu', 'la_nyalla', 'nyalla']"
3,"['pasar', 'dagang', 'calon', 'berangkat', 'haji', 'pt', 'siswa', 'mahasiswa', 'tatap_muka', 'persero']"
4,"['sepeda_motor', 'mobil', 'korban', 'curi', 'nopol_ab', 'polres', 'laku', 'motor', 'polres_kulonprogo', 'kendara']"
5,"['sangka', 'm', 'tangkap', 'senjata', 'sita', 'camat', 'jenis', 'api', 'desa', 'barang_bukti']"
6,"['ugm', 'zona', 'fakultas', 'layan', 'teknik', 'tetap', 'lingkung', 'tingkat', 'terang_tulis', 'salah_satu']"
7,"['ungkap', 'rangka', 'keras', 'berat', 'iii', 'lengkap', 'surat', 'bebas', 'terus', 'wajib']"
8,"['tular_covid', 'virus_corona', 'tangan_covid', 'swasta', 'tular', 'cegah_tular', 'kantor', 'konfirmasi_covid', 'baning', 'ton']"
9,"['partai', 'gabung', 'salah_satu', 'dewan', 'negara', 'bangun', 'jakarta', 'dpp', 'percaya', 'jujur']"
10,"['klaster', 'tinggal_dunia', 'protokol_sehat', 'gunungkidul', 'kepala_dinas', 'tangan_covid', 'gugus_tugas', 'tangan', 'protokol', 'dunia']"
