No,Topik
1,"['tangan_covid', 'media_sosial', 'barang_bukti', 'handphone', 'ajak', 'kartu', 'ajar', 'barang', 'cari', 'tari']"
2,"['merah_putih', 'menteri_negeri', 'bendera', 'rebut', 'lingkung', 'provinsi', 'putih', 'milisi', 'merah', 'hujan']"
3,"['tambah', 'tugas', 'temu', 'positif', 'gugus_tugas', 'positif_covid', 'negara', 'kabag_humas', 'tracing_kontak', 'pasien_covid']"
4,"['amerika_serikat', 'talib', 'afghanistan', 'as', 'kabul', 'militer', 'amerika', 'washington', 'serikat', 'rusia']"
5,"['objek_wisata', 'wisata', 'objek', 'ppkm_level', 'dinas_pariwisata', 'destinasi_wisata', 'ppkm', 'suara', 'tutup', 'wisatawan']"
6,"['awan_panas', 'gunung_rapi', 'amplitudo_mm', 'jarak_luncur', 'arah_barat', 'durasi_detik', 'fase', 'barat_daya', 'kali_gempa', 'gugur_lava']"
7,"['rumah_sakit', 'bantul', 'diy', 'pandemi_covid', 'kota_yogyakarta', 'lurah', 'tim', 'kabupaten_bantul', 'vaksinasi', 'bantu']"
8,"['tipu', 'humas_polres', 'korban', 'kulonprogo_iptu', 'i_nengah', 'kulonprogo', 'jeffry', 'polres', 'i', 'humas_polres_kulonprogo_iptu']"
9,"['sepeda_motor', 'makam', 'isoman', 'juli', 'tidur', 'motor', 'pasien', 'bpbd', 'turun', 'polsek']"
10,"['pura', 'solo', 'mobil', 'medan', 'uang', 'tanggal', 'jenazah', 'tanggal_agustus', 'polres', 'reskrim_polres']"
