,Topic,Word,P
0,0,kabupaten_sleman,0.013152993
1,0,pemkab_sleman,0.011948007
2,0,kepala_dinas,0.010473495
3,0,air,0.007138723
4,0,dinas_didik,0.006830066
5,0,aktif,0.0064588473
6,0,bantu,0.0063044764
7,0,capai_persen,0.006244639
8,0,listrik,0.005954705
9,0,irjen_napoleon,0.0056930385
10,1,korban,0.009435103
11,1,saksi,0.005949719
12,1,kulonprogo,0.005885174
13,1,muncul,0.005865076
14,1,rumah,0.00543242
15,1,sekolah,0.0051298286
16,1,ikan,0.0050766063
17,1,kabupaten_gunungkidul,0.0050592953
18,1,lbh_yogyakarta,0.0049981945
19,1,presiden_joko,0.0049146772
20,2,sepeda_motor,0.004999547
21,2,asing,0.0032599661
22,2,khawatir,0.0023952953
23,2,motor,0.0018721311
24,2,sepeda,0.0017777157
25,2,hati_hati,0.0017650782
26,2,hati,0.0017236215
27,2,imbau,0.0013753802
28,2,bulan,0.0013451722
29,2,wenang,0.0012086217
30,3,vaksinasi,0.012882667
31,3,uji_coba,0.00986492
32,3,raja,0.007988904
33,3,bantul,0.0075704646
34,3,wisata,0.007542024
35,3,anak_anak,0.0067460197
36,3,objek_wisata,0.00668963
37,3,anak,0.006509207
38,3,cepat_vaksinasi,0.0064146766
39,3,kota_yogyakarta,0.006032793
