No,Topik
1,"['uji_coba', 'vaksinasi', 'wisata', 'objek_wisata', 'bantul', 'korban', 'ppkm_level', 'protokol_sehat', 'kota_yogyakarta', 'gunungkidul']"
2,"['uji_coba', 'korban', 'objek_wisata', 'wisata', 'tebing_breksi', 'ppkm_level', 'aplikasi_pedulilindungi', 'coba', 'dinas_pariwisata', 'uji']"
3,"['vaksinasi', 'korban', 'laksana_vaksinasi', 'cepat_vaksinasi', 'uji_coba', 'ptm', 'objek_wisata', 'ajar', 'vaksin', 'siswa']"
4,"['rutan_bareskrim', 'muhammad_kece', 'irjen_napoleon', 'napoleon', 'm_kece', 'napoleon_bonaparte', 'kece', 'bareskrim', 'bareskrim_polri', 'polri']"
5,"['vaksinasi', 'laksana_vaksinasi', 'orang_tua', 'ptm', 'sekolah', 'bantul', 'ptm_batas', 'cepat_vaksinasi', 'siswa', 'anak_anak']"
6,"['gunung_bintang', 'papua', 'kiwirok', 'senjata_kkb', 'kkb', 'tni_polri', 'tni', 'senjata', 'gunung', 'bintang']"
7,"['pemkab_sleman', 'korban', 'lbh_yogyakarta', 'mahasiswa', 'pandemi_covid', 'ptm', 'bupati_sleman', 'siswa', 'orang_tua', 'sekolah']"
8,"['lbh_yogyakarta', 'lbh', 'molotov', 'yogi', 'kantor', 'bakar', 'lempar', 'wib', 'pandemi_covid', 'polresta']"
9,"['pemkab_sleman', 'bupati_sleman', 'tebing_breksi', 'mahasiswa', 'uji_coba', 'pandemi_covid', 'kota_yogyakarta', 'kabupaten_sleman', 'kustini', 'korban']"
10,"['anak_anak', 'bantul', 'mayat', 'temu_mayat', 'kota_yogyakarta', 'laksana_vaksinasi', 'sepeda_motor', 'anak', 'kabupaten_bantul', 'pasien']"
11,"['mahasiswa', 'kota_yogyakarta', 'mayat', 'temu_mayat', 'gunungkidul', 'tebing_breksi', 'uji_coba', 'pasien', 'tambah', 'sepeda_motor']"
12,"['kota_yogyakarta', 'wali_kota', 'kota', 'objek_wisata', 'gunungkidul', 'ppkm_level', 'kabupaten_gunungkidul', 'uji_coba', 'tebing_breksi', 'curi']"
13,"['anak_anak', 'anak', 'warga_bina', 'kota_yogyakarta', 'curi', 'kulonprogo', 'bantul', 'lbh_yogyakarta', 'pemkab_sleman', 'tebing_breksi']"
14,"['gunung_rapi', 'korban', 'temu_mayat', 'mahasiswa', 'mayat', 'anak_anak', 'pandemi_covid', 'hujan', 'air', 'bantul']"
15,"['warga_bina', 'lapas', 'mahasiswa', 'bakar', 'anak_anak', 'rutan', 'bina', 'narkoba', 'kelas', 'kota_yogyakarta']"
16,"['pemkab_sleman', 'kota_yogyakarta', 'uji_coba', 'warga_bina', 'tebing_breksi', 'ppkm_level', 'zona', 'wali_kota', 'anak_anak', 'kebumen']"
