No,Topik
17,"['sepeda_motor', 'gunung_rapi', 'mahasiswa', 'kebumen', 'pandemi_covid', 'raja', 'temu_mayat', 'kulonprogo', 'mayat', 'amerika_serikat']"
18,"['lanal_yogyakarta', 'tni_al', 'gunung_rapi', 'vaksin', 'mahasiswa', 'bantul', 'cepat_vaksinasi', 'lanal', 'laksana_vaksinasi', 'curi']"
19,"['gunung_rapi', 'sepeda_motor', 'zona', 'rapi', 'lurah', 'cari', 'lapor_polisi', 'motor', 'curi', 'anak_anak']"
20,"['kulonprogo', 'sepeda_motor', 'kabupaten_kulonprogo', 'kabupaten_gunungkidul', 'pemkab_sleman', 'gunungkidul', 'kebumen', 'polres_kulonprogo', 'anak_anak', 'amerika_serikat']"
21,"['kebumen', 'gunung_rapi', 'korban', 'air', 'bantul', 'ikan', 'tni_al', 'hujan', 'zona', 'lurah']"
22,"['bantul', 'curi', 'mahasiswa', 'zona', 'kabupaten_bantul', 'sekolah', 'warga_bina', 'lurah', 'presiden', 'jokowi']"
23,"['sepeda_motor', 'ppkm_level', 'gunung_rapi', 'kebumen', 'korban', 'destinasi_wisata', 'bantul', 'level', 'presiden', 'anak_anak']"
24,"['kebumen', 'kulonprogo', 'polres_kulonprogo', 'hujan', 'pandemi_covid', 'kabupaten_kulonprogo', 'kabupaten_gunungkidul', 'hujan_lebat', 'ikan', 'gunungkidul']"
25,"['ikan', 'raja', 'ppkm_level', 'zona', 'pantai', 'lurah', 'curi', 'level', 'muncul', 'polda_diy']"
26,"['raja', 'pandemi_covid', 'kabupaten_sleman', 'makan', 'bantul', 'sepeda_motor', 'kebumen', 'pasar', 'rumah_sakit', 'ikan']"
27,"['pandemi_covid', 'kebumen', 'zona', 'ikan', 'protokol_sehat', 'lurah', 'mahasiswa', 'curi', 'pandemi', 'kabupaten_sleman']"
28,"['raja', 'kota_yogyakarta', 'protokol_sehat', 'jokowi', 'wali_kota', 'kebumen', 'korban', 'tebing_breksi', 'pandemi_covid', 'aplikasi_pedulilindungi']"
29,"['raja', 'tni_al', 'terap_protokol', 'lanal_yogyakarta', 'seleksi', 'kebumen', 'pasar', 'serang', 'orang_tua', 'as']"
30,"['raja', 'ikan', 'pandemi_covid', 'gunung_rapi', 'pantai', 'destinasi_wisata', 'sultan', 'bangun', 'makan', 'kabupaten_kulonprogo']"
31,"['ikan', 'gunungkidul', 'raja', 'pemda_diy', 'curi', 'wali_kota', 'dinas_pariwisata', 'pandemi_covid', 'pasien', 'presiden']"
32,"['destinasi_wisata', 'makan', 'objek_wisata', 'polda_diy', 'polres_kulonprogo', 'serta', 'seleksi', 'salah_satu', 'terap_protokol', 'buka_destinasi']"
33,"['mahasiswa', 'objek_wisata', 'kabupaten_sleman', 'raja', 'rumah', 'rumah_sakit', 'tinggal', 'guru', 'pemda_diy', 'as']"
34,"['raja', 'mahasiswa', 'mobil', 'kabupaten_kulonprogo', 'anak_anak', 'teliti', 'vaksinasi_covid', 'indonesia', 'bantu', 'orang_tua']"
35,"['ikan', 'destinasi_wisata', 'capai_persen', 'objek_wisata', 'luka', 'buka_destinasi', 'polres_kulonprogo', 'polda_diy', 'pandemi_covid', 'lurah']"
36,"['makan', 'polda_diy', 'salah_satu', 'vaksinasi_covid', 'terbang', 'bakar', 'bantul', 'lurah', 'polda', 'bantu']"
37,"['makan', 'bakar', 'laksana_vaksinasi', 'vaksinasi_covid', 'pemda_diy', 'pasar', 'menteri', 'tambah', 'mobil', 'wali_kota']"
38,"['rumah_sakit', 'pemda_diy', 'bakar', 'mobil', 'serang', 'ppkm_level', 'polda_diy', 'raja', 'narkoba', 'orang_tua']"
39,"['polda_diy', 'kabupaten_pemkab', 'protokol_sehat', 'lapor_polisi', 'tebing_breksi', 'kebumen', 'luka', 'lapor', 'serang', 'pasar']"
40,"['vaksinasi_covid', 'pesawat', 'gunungkidul', 'terbang', 'bakar', 'vaksin', 'orang_tua', 'tni_al', 'lanal_yogyakarta', 'amerika_serikat']"
41,"['bakar', 'pesawat', 'orang_tua', 'kabupaten_sleman', 'salah_satu', 'madam', 'lapor_polisi', 'polda_diy', 'destinasi_wisata', 'kabupaten_kulonprogo']"
42,"['rumah_sakit', 'mobil', 'pemda_diy', 'pesawat', 'teliti', 'bantu', 'serang', 'orang_tua', 'polres_kulonprogo', 'kulit']"
43,"['pesawat', 'kabupaten_sleman', 'lurah', 'air', 'teliti', 'tni', 'vaksin', 'juru_bicara', 'mobil', 'rumah_sakit']"
44,"['pesawat', 'salah_satu', 'terbang', 'orang_tua', 'kebumen', 'serang', 'bantu', 'solo', 'polres_kulonprogo', 'makan']"
