No,Topik
1,"['korban', 'rumah_sakit', 'bantul', 'kulonprogo', 'sleman', 'kota_yogyakarta', 'laku', 'positif_covid', 'kabupaten_bantul', 'gunungkidul']"
2,"['korban', 'bantul', 'positif_covid', 'konfirmasi_covid', 'kota_yogyakarta', 'kabupaten_bantul', 'sepeda_motor', 'jalan_isolasi', 'laku', 'pasien']"
3,"['rumah_sakit', 'konfirmasi_covid', 'korban', 'vanessa_angel', 'positif_covid', 'jalan_isolasi', 'bantul', 'pasien', 'pandemi_covid', 'sembuh']"
4,"['vanessa_angel', 'korban', 'vanessa', 'joddy', 'sopir_vanessa', 'hujan_deras', 'polda_jatim', 'angel', 'sepeda_motor', 'tetap_sangka']"
