No,Topik
1,"['zona_merah', 'gunung_rapi', 'amplitudo_mm', 'tembak', 'vaksin', 'personel', 'acara', 'camat', 'zona', 'vaksinasi']"
2,"['korban', 'air', 'parkir', 'haji', 'papua', 'jemaah_haji', 'harga', 'tarif_parkir', 'kawasan_malioboro', 'gunungkidul']"
3,"['protokol_sehat', 'bantul', 'kota_yogyakarta', 'rumah_sakit', 'pasien_covid', 'tambah', 'makam', 'positif_covid', 'celaka', 'kabupaten_bantul']"
