,Topic,Word,Sematik
0,0,kota_yogyakarta,-0.19488442195993175
1,0,korban,-0.18279002454656945
2,0,sepeda_motor,-0.18217503113301656
3,0,konfirmasi_positif,-0.17795346081582172
4,0,tambah,-0.17140923190739812
5,0,bantul,-0.16417532298826765
6,0,kabupaten_sleman,-0.1556909894454645
7,0,positif_covid,-0.15389372131956786
8,0,rumah_sakit,-0.14802569427466084
9,0,positif,-0.1376225281772998
10,1,sepeda_motor,-0.39697028609613566
11,1,korban,-0.2705469397130438
12,1,konfirmasi_positif,0.2116450860561074
13,1,tambah,0.192000069111318
14,1,berty_murtiningsih,0.17953067466794823
15,1,periksa_mandiri,0.17162984889765806
16,1,tracing_kontak,0.1522977012997179
17,1,kabupaten_sleman,0.15198722970089096
18,1,pasien_sembuh,0.1487044921202384
19,1,positif,0.14458467219220597
20,2,sepeda_motor,0.3974549606741543
21,2,pecel_lele,-0.34368173002910096
22,2,harga,-0.21765270724290914
23,2,korban,0.18060482324732732
24,2,malioboro,-0.16754518849740072
25,2,kawasan_malioboro,-0.1566794075135899
26,2,kota_yogyakarta,-0.14140671828783227
27,2,sepeda,0.13626137165190677
28,2,lele,-0.1348065016619111
29,2,motor,0.12206677316193938
