,Topic,Word,P
0,0,zona_merah,0.010186132
1,0,gunung_rapi,0.0076481113
2,0,amplitudo_mm,0.0076478804
3,0,tembak,0.006227715
4,0,vaksin,0.0059587276
5,0,personel,0.005590243
6,0,acara,0.005505083
7,0,camat,0.0052315774
8,0,zona,0.0049850596
9,0,vaksinasi,0.0049573663
10,1,korban,0.008339546
11,1,air,0.0066766916
12,1,parkir,0.0065090843
13,1,haji,0.0056804284
14,1,papua,0.005501676
15,1,jemaah_haji,0.005052362
16,1,harga,0.004523165
17,1,tarif_parkir,0.0043982742
18,1,kawasan_malioboro,0.004227661
19,1,gunungkidul,0.004219806
20,2,protokol_sehat,0.00804135
21,2,bantul,0.0064078234
22,2,kota_yogyakarta,0.0061500226
23,2,rumah_sakit,0.00592939
24,2,pasien_covid,0.0054761427
25,2,tambah,0.0053343535
26,2,makam,0.0050590057
27,2,positif_covid,0.0050473255
28,2,celaka,0.005027381
29,2,kabupaten_bantul,0.004936398
