No,Topik
1,"['kota_yogyakarta', 'korban', 'sepeda_motor', 'konfirmasi_positif', 'tambah', 'bantul', 'kabupaten_sleman', 'positif_covid', 'rumah_sakit', 'positif']"
2,"['sepeda_motor', 'korban', 'konfirmasi_positif', 'tambah', 'berty_murtiningsih', 'periksa_mandiri', 'tracing_kontak', 'kabupaten_sleman', 'pasien_sembuh', 'positif']"
3,"['sepeda_motor', 'pecel_lele', 'harga', 'korban', 'malioboro', 'kawasan_malioboro', 'kota_yogyakarta', 'sepeda', 'lele', 'motor']"
