No,Topik
1,"['sepeda_motor', 'motor', 'panas', 'celaka', 'kendara', 'sepeda', 'kiri', 'korban', 'youtube', 'sultan']"
2,"['pasien_sembuh', 'berty_murtiningsih', 'berty', 'covid_diy', 'juru_bicara', 'swab', 'murtiningsih', 'mandiri', 'kontak', 'pasien_tinggal']"
3,"['bpom', 'putus', 'tanam', 'pilih', 'uji', 'badan_awas', 'uji_klinis', 'klinis', 'awas', 'baca']"
4,"['fpi', 'front', 'islam', 'hak', 'front_bela', 'bela', 'islam_fpi', 'pers', 'undang', 'media']"
5,"['gisel', 'polda_metro', 'video_syur', 'gisella_anastasia', 'video', 'media_sosial', 'metro', 'jaya', 'periksa', 'bpbd']"
6,"['gugur_lava', 'gunung_rapi', 'rapi', 'lava_pijar', 'awan_panas', 'kali_gempa', 'jarak_luncur', 'gugur', 'aktivitas_gunung', 'lava']"
7,"['vaksin', 'vaksin_covid', 'tenaga_sehat', 'sri_purnomo', 'vaksinasi', 'pesawat', 'tahap', 'hilang_kontak', 'pesawat_sriwijaya', 'terima']"
8,"['harga', 'kota_yogyakarta', 'mobil', 'ungsi', 'bakar', 'korban', 'kilogram', 'aman', 'anak', 'pondok_pesantren']"
9,"['rumah_sakit', 'bantul', 'positif_covid', 'tambah', 'pasien', 'kota_yogyakarta', 'vaksinasi_covid', 'pemda_diy', 'kabupaten_sleman', 'kabupaten_bantul']"
10,"['instruksi_bupati', 'satpol_pp', 'ketat_batas', 'kerumun', 'protokol_sehat', 'tular_covid', 'giat_masyarakat', 'usaha', 'satpol', 'pp']"
11,"['dpr', 'calon', 'putih', 'tanam', 'darurat', 'awas', 'suara', 'pohon', 'dorong', 'follow_berita']"
12,"['habib_rizieq', 'polres_kulonprogo', 'abu_bakar', 'korban', 'uang', 'baasyir', 'ustaz_abu', 'rizieq', 'guru', 'pondok_pesantren']"
13,"['ponpes_al', 'al', 'salat', 'barang', 'cuci', 'masjid', 'kece', 'cuci_tangan', 'masker', 'internasional']"
