,Topic,Word,P
0,0,sepeda_motor,0.01927246
1,0,motor,0.013680726
2,0,panas,0.012424742
3,0,celaka,0.012333785
4,0,kendara,0.011084974
5,0,sepeda,0.010226287
6,0,kiri,0.009456138
7,0,korban,0.009173316
8,0,youtube,0.009131586
9,0,sultan,0.008936741
10,1,pasien_sembuh,0.02840266
11,1,berty_murtiningsih,0.01427335
12,1,berty,0.013676668
13,1,covid_diy,0.010042179
14,1,juru_bicara,0.008130296
15,1,swab,0.007575186
16,1,murtiningsih,0.007500092
17,1,mandiri,0.0074691004
18,1,kontak,0.0071867923
19,1,pasien_tinggal,0.007180014
20,2,bpom,0.014890072
21,2,putus,0.010679418
22,2,tanam,0.009423187
23,2,pilih,0.0087242825
24,2,uji,0.007367046
25,2,badan_awas,0.007094666
26,2,uji_klinis,0.007090389
27,2,klinis,0.007088143
28,2,awas,0.007008478
29,2,baca,0.0068958956
30,3,fpi,0.02839974
31,3,front,0.01328701
32,3,islam,0.012767689
33,3,hak,0.0105762575
34,3,front_bela,0.009042313
35,3,bela,0.009041686
36,3,islam_fpi,0.009039075
37,3,pers,0.008041171
38,3,undang,0.0070652287
39,3,media,0.006320197
40,4,gisel,0.019516775
41,4,polda_metro,0.018559381
42,4,video_syur,0.015457473
43,4,gisella_anastasia,0.014638652
44,4,video,0.013782065
45,4,media_sosial,0.011240732
46,4,metro,0.010863128
47,4,jaya,0.009393847
48,4,periksa,0.008432206
49,4,bpbd,0.008186081
50,5,gugur_lava,0.018976437
51,5,gunung_rapi,0.01880017
52,5,rapi,0.016164107
53,5,lava_pijar,0.014240215
54,5,awan_panas,0.014060354
55,5,kali_gempa,0.012254652
56,5,jarak_luncur,0.011337464
57,5,gugur,0.011294784
58,5,aktivitas_gunung,0.0111992825
59,5,lava,0.011119759
60,6,vaksin,0.017901914
61,6,vaksin_covid,0.016235722
62,6,tenaga_sehat,0.009708656
63,6,sri_purnomo,0.0076047555
64,6,vaksinasi,0.0074887034
65,6,pesawat,0.0074402266
66,6,tahap,0.007206814
67,6,hilang_kontak,0.006840323
68,6,pesawat_sriwijaya,0.0068009202
69,6,terima,0.0065881377
70,7,harga,0.011225082
71,7,kota_yogyakarta,0.010504677
72,7,mobil,0.009589104
73,7,ungsi,0.009561668
74,7,bakar,0.009205505
75,7,korban,0.009196747
76,7,kilogram,0.007667425
77,7,aman,0.0076432107
78,7,anak,0.0075671915
79,7,pondok_pesantren,0.007186505
80,8,rumah_sakit,0.015329935
81,8,bantul,0.015028295
82,8,positif_covid,0.012731232
83,8,tambah,0.012195352
84,8,pasien,0.011769861
85,8,kota_yogyakarta,0.011488803
86,8,vaksinasi_covid,0.011412432
87,8,pemda_diy,0.010723455
88,8,kabupaten_sleman,0.010388487
89,8,kabupaten_bantul,0.010118671
90,9,instruksi_bupati,0.020983236
91,9,satpol_pp,0.019636694
92,9,ketat_batas,0.012472433
93,9,kerumun,0.012054568
94,9,protokol_sehat,0.011956627
95,9,tular_covid,0.011476453
96,9,giat_masyarakat,0.011325702
97,9,usaha,0.010774005
98,9,satpol,0.010116544
99,9,pp,0.0098132035
100,10,dpr,0.009705662
101,10,calon,0.008094954
102,10,putih,0.008040316
103,10,tanam,0.006758638
104,10,darurat,0.0063290647
105,10,awas,0.0063261427
106,10,suara,0.005287376
107,10,pohon,0.005093416
108,10,dorong,0.0047802785
109,10,follow_berita,0.004518753
110,11,habib_rizieq,0.021522094
111,11,polres_kulonprogo,0.016250378
112,11,abu_bakar,0.013961019
113,11,korban,0.0121370675
114,11,uang,0.010545555
115,11,baasyir,0.009435628
116,11,ustaz_abu,0.009141776
117,11,rizieq,0.008640398
118,11,guru,0.008552407
119,11,pondok_pesantren,0.00795369
120,12,ponpes_al,0.013647698
121,12,al,0.0060524824
122,12,salat,0.0055852993
123,12,barang,0.0051870737
124,12,cuci,0.0051461
125,12,masjid,0.004597597
126,12,kece,0.004541718
127,12,cuci_tangan,0.0042877025
128,12,masker,0.0042874366
129,12,internasional,0.0037889837
