No,Topik
1,"['vaksinasi', 'kota_yogyakarta', 'bantul', 'objek_wisata', 'laksana_vaksinasi', 'vaksin', 'uji_coba', 'wisata', 'vaksinasi_covid', 'ppkm_level']"
2,"['talib', 'afghanistan', 'korban', 'bom_bunuh', 'as', 'isis_k', 'sepeda_motor', 'vaksinasi', 'kota_yogyakarta', 'rumah_sakit']"
3,"['objek_wisata', 'uji_coba', 'vaksinasi', 'wisata', 'destinasi_wisata', 'ppkm_level', 'laksana_vaksinasi', 'laku_wisata', 'cepat_vaksinasi', 'vaksin']"
4,"['talib', 'sepeda_motor', 'afghanistan', 'bom_bunuh', 'isis_k', 'as', 'tinggal_dunia', 'rumah_sakit', 'korban', 'celaka']"
5,"['kota_yogyakarta', 'kota', 'uji_coba', 'konfirmasi_positif', 'heroe', 'protokol_sehat', 'pasien', 'objek_wisata', 'pemkab_sleman', 'mnc_peduli']"
6,"['bantul', 'kota_yogyakarta', 'pasien', 'kabupaten_bantul', 'konfirmasi_positif', 'sepeda_motor', 'awan_panas', 'sembuh', 'rumah_sakit', 'arah_barat']"
7,"['awan_panas', 'jarak_luncur', 'arah_barat', 'gunung_rapi', 'amplitudo_mm', 'awan', 'gugur', 'panas', 'sepeda_motor', 'luncur']"
