No,Topik
1,"['vaksinasi', 'korban', 'kota_yogyakarta', 'bantul', 'sepeda_motor', 'laku', 'kabupaten_bantul', 'kulonprogo', 'uji_coba', 'protokol_sehat']"
2,"['sepeda_motor', 'korban', 'vaksinasi', 'kota_yogyakarta', 'laku', 'polres_sleman', 'motor', 'capai_persen', 'vaksinasi_covid', 'protokol_sehat']"
3,"['sepeda_motor', 'vaksinasi', 'kota_yogyakarta', 'capai_persen', 'korban', 'vaksinasi_covid', 'gunung_rapi', 'wisata', 'motor', 'cepat_vaksinasi']"
4,"['uji_coba', 'wisata', 'vaksinasi', 'dinas_pariwisata', 'sepeda_motor', 'objek_wisata', 'destinasi_wisata', 'pariwisata', 'protokol_sehat', 'bupati_sleman']"
