No,Topik
1,"['partai_golkar', 'sop', 'dr', 'tular_covid', 'gandung', 'suasana', 'partai', 'golkar', 'aji', 'dpr']"
2,"['obat_keras', 'juta_butir', 'barang_bukti', 'pil', 'butir', 'mesin', 'pil_koplo', 'koplo', 'obat', 'baku']"
3,"['labuh', 'inovasi', 'sumatera', 'ikan', 'lolos', 'main', 'simpan', 'asn', 'panen', 'asli']"
4,"['libur', 'pantai', 'jasad', 'unjung', 'ayah', 'kartu', 'penjara', 'tega', 'buat', 'aniaya']"
5,"['faktor', 'seni', 'aparat', 'gandung', 'ri', 'isi', 'anggap', 'hapus', 'tunjuk', 'studi']"
6,"['jogja', 'korban', 'rumah_sakit', 'makan', 'keluarga', 'kota', 'kunjung', 'sepeda_motor', 'wisata', 'bangun']"
7,"['anak', 'nama', 'orang_tua', 'laku', 'rabu', 'bantul', 'alir', 'kabupaten_bantul', 'protokol_sehat', 'pandemi_covid']"
8,"['sungai', 'kebumen', 'seksual', 'laki_laki', 'kalurahan', 'anak_anak', 'acara', 'laki', 'sosial', 'nekat']"
9,"['capai_persen', 'vaksinasi', 'produk', 'kota_yogyakarta', 'pemkab_sleman', 'persen', 'olahraga', 'faktor', 'main', 'lintas']"
10,"['api', 'bakar', 'kuliner', 'lari', 'madam', 'teriak', 'hukum', 'coba', 'adil', 'jatuh']"
11,"['mahasiswa', 'nilai', 'nikah', 'kabupaten_kulonprogo', 'celaka', 'layan', 'didik', 'kulonprogo', 'uny', 'desa']"
