No,Topik
1,"['buka_puasa', 'wib', 'jadwal', 'kota_yogyakarta', 'salat', 'puasa', 'salat_tarawih', 'kemenag', 'ibadah', 'muslim']"
2,"['arab_saudi', 'wisata', 'protokol_sehat', 'laksana_ibadah', 'protokol', 'kilogram', 'salat_tarawih', 'jam', 'naik', 'daging']"
3,"['tambah', 'covid_berty', 'kabupaten_bantul', 'positif', 'tambah_konfirmasi', 'kota_yogyakarta', 'kabupaten_sleman', 'pemda_diy', 'konfirmasi', 'tracing_kontak']"
4,"['awan_panas', 'gunung_rapi', 'barat_daya', 'rapi', 'jarak_luncur', 'awan', 'gugur', 'luncur', 'detik_jarak', 'panas']"
5,"['larang_mudik', 'mudik', 'mudik_lebaran', 'bupati_sleman', 'larang', 'lebaran', 'hujan', 'kabupaten_sleman', 'kustini', 'jalur']"
6,"['korban', 'kulonprogo', 'tinggal_dunia', 'masjid', 'anak', 'rumah_sakit', 'gunungkidul', 'polisi', 'anak_anak', 'temu']"
