No,Topik
1,"['vaksinasi', 'kota_yogyakarta', 'awan_panas', 'bantul', 'kulonprogo', 'vaksinasi_covid', 'polda_diy', 'gunung_meru', 'anak', 'diy']"
2,"['awan_panas', 'gunung_meru', 'vaksinasi', 'gunung_rapi', 'meru', 'kota_yogyakarta', 'gunung', 'vaksinasi_covid', 'panas', 'curah_kobok']"
3,"['polda_diy', 'bandara_yia', 'pamer_payudara', 'sangka', 'polda', 'vaksinasi', 'barang_bukti', 'tangkap', 'kota_yogyakarta', 'media_sosial']"
