No,Topik
1,"['barang_bukti', 'kombes_pol', 'kabid_humas', 'artis', 'kombes', 'tangkap', 'narkotika', 'polda', 'narkoba', 'pol']"
2,"['umy', 'afrika_selatan', 'prestasi', 'bangsa', 'asn_polri', 'pt_angkasa', 'korupsi', 'kpk', 'afrika', 'angkasa']"
3,"['kain', 'batik', 'alun_alun', 'alun', 'minum', 'toko', 'lahan', 'api', 'hektare', 'sita']"
4,"['kabupaten_sleman', 'prajurit', 'agama', 'pasu_khusus', 'polda_diy', 'kopassus', 'izin', 'operasi', 'al', 'kota_bandung']"
5,"['anak', 'bantul', 'gunungkidul', 'sleman', 'anak_anak', 'rumah', 'sepeda_motor', 'temu', 'orang_tua', 'diy']"
6,"['budaya', 'seni_budaya', 'seni', 'angkat_udara', 'tni_au', 'karyawan', 'pesawat', 'angkat', 'lestari', 'condongcatur']"
7,"['awan_panas', 'gunung_rapi', 'amplitudo_mm', 'jarak_luncur', 'banjir_lahar', 'arah_barat', 'rapi', 'gugur', 'panas', 'awan']"
8,"['vaksinasi', 'laksana_vaksinasi', 'vaksinasi_anak', 'tular_covid', 'kota_yogyakarta', 'vaksinasi_covid', 'protokol_sehat', 'tangan_covid', 'vaksin', 'kick_off']"
