No,Topik
1,"['kulonprogo', 'humas_polres', 'temu', 'sekolah', 'korban', 'muara_sungai', 'muhammadiyah', 'curi', 'tni', 'pokok']"
2,"['polda_diy', 'tambah', 'polda', 'kabupaten_sleman', 'kabupaten_bantul', 'konfirmasi_positif', 'tracing_kontak', 'juru_bicara', 'periksa_mandiri', 'pasien_sembuh']"
3,"['agama', 'ukur', 'langkah', 'air', 'guru', 'tutup', 'mm_detik', 'serikat', 'ganggu', 'vaksin_astrazeneca']"
4,"['zona', 'kutip_reuters', 'darah', 'dokter', 'kelompok', 'senjata', 'serang', 'diskusi', 'myanmar', 'merah']"
5,"['gunungkidul', 'seleksi', 'kelola', 'seni', 'bantul', 'rumah_sakit', 'muncul', 'ajar_tatap', 'mati', 'warna']"
6,"['arab_saudi', 'china', 'teman', 'pohon', 'akp', 'stok', 'saudi', 'polsek', 'laku_tangkap', 'reskrim']"
7,"['protokol_sehat', 'sleman', 'orang_tua', 'pandemi_covid', 'vaksinasi', 'kota_yogyakarta', 'pasar', 'persen', 'harga_cabai', 'harga']"
8,"['makam', 'wali_kota', 'juru_kunci', 'teman', 'tumbuh', 'solo', 'presiden', 'ahli', 'area', 'jokowi']"
9,"['gugur_lava', 'gunung_rapi', 'jarak_luncur', 'awan_panas', 'arah_barat', 'gugur', 'kali_gempa', 'rapi', 'lava', 'gunung']"
10,"['korban', 'sepeda_motor', 'media_sosial', 'dagang_pasar', 'unjung', 'salah_satu', 'polisi', 'titik', 'kawasan', 'etle']"
